chain,project,symbol,tvlUsd,apyBase,apyReward,apy,apyPct7D,mu,sigma,count,predictedClass,predictedProbability,pool
Base,beefy,CLANKER-WETH,43545,,,927067.3887,259640.08202,101731.73956,10.24449,6,,,fb6f8453-5a2e-4b59-9d10-7c0299849db1
Base,beefy,LUNA-WETH,148927,,,883190.77812,822807.60819,39086.27324,10.79845,25,Down,100.0,1c225e69-5ee4-4e3a-a9b4-4715778c912a
Ethereum,spectra-v2,PT-SW-STKGHO(AAVE),1949840,784656.14887,,784656.14887,784511.75937,73.59123,7.05178,52,Down,100.0,2588d040-49b2-4dd7-9a79-62db397a2ab3
Base,beefy,LUM-WETH,81113,,,768863.96759,,401614.53173,3.03036,3,,,18b01be4-6b47-4236-be30-752463f7bacc
Ethereum,spectra-v2,LP-SW-STKGHO(AAVE),1955946,736914.93213,2.0227,736916.95483,736881.72762,49.72373,6.5247,52,Down,100.0,af4100d5-1c9b-40bd-b366-85414252694a
Ethereum,spectra-v2,PT-SW-UNIBTC(BEDROCK),1205576,575909.05842,,575909.05842,575858.92671,60.75455,7.40941,55,Down,100.0,3e2c112e-2615-4623-86a0-a00789b028f9
Base,seamless-protocol,ILM-ETH-USDC-1.5XLOOP,36416,550323.93737,,550323.93737,550323.93737,279.64133,13.87378,95,Down,100.0,a0d5fa3c-5b75-45bd-a1b8-0f675473ed15
Ethereum,spectra-v2,LP-SW-UNIBTC(BEDROCK),1202623,275318.64674,3.6963,275322.34304,275312.2402,35.98112,6.12068,55,Down,100.0,d35dca29-5ac0-4e6a-be0e-3f7c036572cc
Solana,orca,MONA-USDC,24856,193597.99116,,193597.99116,,193597.99116,0.0,1,,,8b27b97a-4ee0-4c6b-8476-da9e885ef881
Solana,kamino-liquidity,SOL-ZEREBRO,1392657,148412.96307,0.0,148412.96307,,20731.46589,9.16143,5,,,d6a7ac3c-08e0-4284-be31-863859d5bb9e
Solana,orca,SOL-DP,23217,139007.76184,,139007.76184,,149901.63175,0.56941,2,,,d386568d-7917-4162-b150-724f9941a7d0
Base,aerodrome-v1,GROW-VITA,11514,,121932.37838,121932.37838,6322.65671,5880.37817,9.7878,71,Down,100.0,aff1b260-0d57-4c1a-aad4-05587ca26110
Base,clearpool-lending,USDC,103251,13.5,98735.4132,98748.9132,-771.04777,19782.35304,12.69973,76,Down,100.0,374659cf-0281-4f91-abdf-53f4145c534c
Solana,orca,SOL-RXS,90338833,62536.04959,,62536.04959,,2423.59076,23.98527,2,,,89c8c31c-026a-45a3-964c-265d0c2f4210
Solana,orca,SOL-PEPU,101120579,44815.11427,,44815.11427,,44815.11427,0.0,1,,,0792efc5-25fc-41fc-b98f-3a04b7b71b2e
Solana,orca,SOL-JBOLT,10042453,41852.48609,,41852.48609,,2020.09826,22.28243,2,,,65238e5d-0904-4c71-bef7-4e2509fd0fa6
Ethereum,sushiswap,TORN-WETH,24200,36564.28592,0.0,36564.28592,,17.45251,2.01661,661,Down,96.0,e9fbe20e-57fd-42d8-85cd-ba9dbe04a3f8
Solana,orca,SOL-CHILLFAM,22162,30436.96107,,30436.96107,,32938.63431,0.59219,2,,,6170b187-9f5b-475b-80b1-1bdab72cd8e6
Solana,orca,SOL-LETHIMCOO,24264,27744.68327,,27744.68327,,27744.68327,0.0,1,,,c35dce70-e069-4889-a275-b43558c1f9cd
Base,beefy,HIGHER-WETH,54610,,,22201.56626,14783.10872,10251.61636,8.06374,21,Down,100.0,50a53302-f997-4a4d-acba-96c8a1b3e63d
Solana,orca,SOL-FREE,10020,20777.75939,,20777.75939,,20777.75939,0.0,1,,,bc1f90df-3a99-491b-8ba4-e41b5df4962f
Solana,orca,SOL-CHILLGUY,10492,20329.13958,,20329.13958,,20329.13958,0.0,1,,,33da2c66-43c4-4709-bd10-7a14378480b6
Solana,orca,SOL-$1,25747,18954.81389,,18954.81389,,18954.81389,0.0,1,,,1efee153-c12b-4e20-81ce-40dd3418d642
Sui,turbos,PEWIF-USDC,14623,18229.86944,0.0,18229.86944,0.0,18229.86944,0.0,5,,,5a9d5a07-5f1c-4f10-8f2f-d135294d0ad6
Base,beefy,USDC-MORPHO,16428,,,15890.52663,,26302.27788,2.3271,3,,,c8163d47-cd90-4cbc-9269-d89c697e6415
Solana,orca,SOL-JBOLT,11012533,15104.97215,,15104.97215,,15104.97215,0.0,1,,,171b9371-c498-4f2b-87e7-671155f9cfe8
Solana,orca,SOL-FUKU,21339,14759.8945,,14759.8945,,7529.24122,6.79477,4,,,85459417-a23b-42f7-b1b3-54ad52b86c96
Solana,orca,SOL-MUSTARD,39989,14366.95154,,14366.95154,,14366.95154,0.0,1,,,dcd62f3f-456b-40d0-89cc-338aa97d287e
Base,beefy,WETH-MORPHO,21268,,,12990.44458,,6649.49691,7.68821,5,,,6c9e76d4-af13-4446-9873-b4d19b3ad356
Sui,turbos,MEMEFI-USDC,30833,12483.2238,0.0,12483.2238,,12483.2238,0.0,1,,,8431a861-754b-43cb-8cab-bedb7b1bf167
Solana,kamino-liquidity,SOL-CHILLGUY,36624,11946.49599,0.0,11946.49599,,7567.01014,5.65899,5,,,2d505a86-12c4-45c8-93a4-e5cf751de90e
Solana,orca,QUANT-FARTCOIN,37831,11472.09225,,11472.09225,1663.51101,11472.09225,0.0,1,,,4df46f65-5281-40f9-af80-c2c8bdc0ee2a
Sui,turbos,MEMEFI-SUI,15954,11111.05573,0.0,11111.05573,,11111.05573,0.0,1,,,cca34ef1-26b1-4184-bdb4-b14ca38f71ba
Solana,orca,SOL-XENO,11834,10465.18682,,10465.18682,,24036.39046,6.2081,2,,,0d725c5e-1b93-4df8-8a43-82775586cdd0
Solana,orca,SOL-KIMA,62544875,9596.93686,,9596.93686,,489.00925,11.64898,4,,,47015e32-1a4a-4f3a-a73c-41f1307cd53f
Solana,orca,SOL-FINE,10056,9162.46617,,9162.46617,,20346.09125,5.94739,2,,,38b9d01a-769b-4ca1-9d30-f27f95223390
Base,beefy,KEYCAT-WETH,58790,,,8655.35454,6055.0733,1320.94537,9.08765,62,Down,100.0,6a2248aa-833b-47de-bcc6-2421ed6a36ac
Solana,orca,SOL-PEPU,86093549,8481.27648,,8481.27648,,827.08365,16.57327,2,,,b21a9713-c4cf-4a79-94f7-1c3f087d9663
Solana,orca,SOL-DOGECAST,10435,8261.83938,,8261.83938,,8516.6012,0.22489,2,,,4640120e-86ad-4176-ad04-ad2f32121e67
Solana,orca,SOL-UBC,16869,8058.26996,,8058.26996,,8058.26996,0.0,1,,,58c97a35-f4a0-45d6-bb15-4b4f271024c4
Solana,orca,SOL-PEPU,37715273,7478.19651,,7478.19651,,771.13853,16.10828,2,,,88915213-f8f1-46c4-bf6a-50dfa64c6282
Base,uniswap-v3,MORSE-WETH,24949,7101.87101,,7101.87101,,7101.87101,0.0,1,,,527706be-ca51-4956-ae39-d6044a7308d9
MultiversX,ashswap,USDC-WTAO,16147,21.91345,6907.58511,6929.49856,2646.83066,378.59672,6.16317,244,Down,99.0,78c61b2d-1393-450b-aa91-075815662a1c
Solana,orca,SOL-HOP,10293,6824.85174,,6824.85174,,8641.12075,1.01791,4,,,e32492f3-e458-44b0-acef-5db301e2786a
Solana,orca,SOL-TERRY,124259,6248.90238,,6248.90238,,6308.89354,0.20485,3,,,175a035b-a948-4e67-9c31-e1f726335d6c
Base,beefy,MIGGLES-WETH,31136,,,5955.32051,-828.97351,1352.66086,7.04996,56,Down,100.0,50a3f402-993b-44df-9a73-c82679f66ffd
Base,beefy,DOGINME-WETH,25658,,,5638.2874,1666.19992,603.21689,7.99585,74,Down,99.0,08874cb1-b954-452b-9093-efbbd60d5883
Solana,orca,SOL-FRIC,14017,5220.0757,,5220.0757,,8418.48365,3.52735,2,,,e1771dd8-5493-4978-a235-f8fd1570e745
BSC,babydogeswap,USDT-WBNB,10006,4.22022,4964.01672,4968.23694,,366.90403,8.07447,514,Down,99.0,fe59356f-f5a3-492e-9ded-613871f4feee
Solana,orca,SOL-MEMEFI,79669768,4897.41119,,4897.41119,4897.25601,607.47199,14.54924,2,,,d8486566-ee18-4a4b-afa6-fbf15da79425
Base,uniswap-v3,CLANKERINDEX-WETH,53904,4642.03572,,4642.03572,,4642.03572,0.0,1,,,4a4580d6-4ea0-44af-9a0e-3e3c1c78e89e
Telos,apeswap-amm,STLOS-USDC,30914,,4631.44335,4631.44335,0.65909,1734.20009,7.34188,637,Down,100.0,06334241-378b-43ae-8aee-0520cc7afb5c
Base,beefy,LUNA-WETH,19440,,,4408.39948,-5618.03475,4856.11693,5.2067,20,Down,100.0,7fe54451-f77b-432e-9fac-89c5e482c9e3
Base,uniswap-v3,WETH-DOGE,95159,4377.25746,,4377.25746,,3989.17808,1.35093,4,,,34eae296-3fd0-4db1-aac6-decea8241fd3
Sui,turbos,MEMEFI-USDC,11834,4321.19714,0.0,4321.19714,,3573.38388,1.38524,2,,,353d1edb-83db-4348-93e8-93c73c70cd03
Solana,orca,FARTCOIN-CHILLGUY,17880,4103.38564,,4103.38564,,4086.91511,0.02936,2,,,62021377-0735-463c-9352-01467dad87ae
Solana,orca,SOL-RXS,82179112,4033.89901,,4033.89901,,551.3292,13.74969,2,,,bb7ba33a-0bbd-4752-83e8-23bcc58d3d18
Sui,cetus-amm,XMDOGE-SUI,21417,3898.91993,0.0,3898.91993,,3487.78546,0.81099,2,,,9f2376b7-45f2-4d9b-bf1a-72030d3bef92
Solana,orca,USDC-VVAIFU,12926,3821.32397,,3821.32397,2379.84017,3628.12027,0.3065,3,,,a9e6e90f-dd50-4770-97e8-de41e3462ef1
Base,beefy,TYBG-WETH,57094,,,3556.1027,-55587.50217,697.81737,8.67604,137,Down,100.0,0a4b0c4b-e262-4195-bc31-206942dbd7e7
Base,uniswap-v3,SOCIAL-WETH,39734,3468.01133,,3468.01133,,1737.24215,2.29078,6,,,53a46f5c-a5af-44d5-826d-bddce68a77b4
Re.al,pearl-v2,USDC-PEARL,187800,,3434.30722,3434.30722,3026.06472,1573.91957,6.66887,64,Down,100.0,fc29b447-7d7b-40c5-a939-a7432810d7f2
Sui,cetus-amm,SADOGE-SUI,33448,3343.03118,0.0,3343.03118,,3343.03118,0.0,1,,,8b0ce5f6-3c13-4e29-8dda-b8e2d1f5564c
BSC,stakedao,SOLVBTC-BTCB,27685,3102.67422,133.88228,3236.55651,,36.02795,4.24101,54,Down,99.0,a50d35da-d929-43ad-9835-541eec9d8a73
Solana,orca,SOL-AVB,39694,3224.86892,,3224.86892,,2886.05183,2.15392,7,Down,100.0,94d894ef-d4f0-4a31-8745-47fd4d8f6eec
Sui,cetus-amm,CAPYSAN-SUI,36038,3035.93311,0.0,3035.93311,,2947.79667,0.21301,2,,,25d271a9-db60-4159-9957-e30879c0e1aa
Cardano,minswap,ADA-MELD,11709,3014.92,0.0,3014.92,553.48,78.1201,5.54797,141,Down,99.0,fbbe8da5-2b95-456e-9d7a-d1f619a75e8f
Solana,orca,SOL-BULLY,43645,2995.66798,,2995.66798,,3220.1949,1.32364,5,,,d785f78b-f938-4741-a0f9-629ccc61c4f9
Sui,cetus-amm,PEANUS-SUI,30599,2979.63263,0.0,2979.63263,2027.35457,2979.63263,0.0,1,,,71bbcc0e-274f-4028-a060-c1ddb546ad2b
Solana,orca,SOL-KACY,97341,2970.19593,,2970.19593,,4428.92888,4.52738,6,,,cddc6db1-8b7f-448a-aa4f-aa609f1d37cd
Solana,orca,VVAIFU-AI16Z,94612,2944.30888,,2944.30888,-16134.12129,4199.20843,4.83144,9,Down,98.0,97ae0561-b7ae-4a08-b1b6-7497b29dc1a4
Base,uniswap-v3,$INFINITE-WETH,33128,2941.05093,,2941.05093,,2941.05093,0.0,1,,,c605db37-19d0-4950-8549-8ccc051e39fc
Sui,cetus-amm,USDC-MEMEFI,20179,2891.97014,0.0,2891.97014,,1261.08695,3.85424,5,,,520bde6e-338a-4cd3-aac8-3c3ac137029d
Base,beefy,WELL-WETH,21621,,,2885.11187,2672.82222,281.29508,4.15619,20,Down,100.0,07a7d305-87fa-4508-b7a5-835b4cd17e34
Sui,cetus-amm,CAPYWIF-SUI,34741,2812.97402,0.0,2812.97402,,2704.71978,0.28291,2,,,e6193cf9-6444-4f92-a287-a7d699db7e1f
Polygon,steer-protocol,SWCH-USDT,25190,2777.77,,2777.77,0.0,173.59096,7.10149,255,Down,100.0,06be7d34-c95b-4a44-abb7-8634b7d87d82
Avalanche,beefy,WAVAX-USDC,399457,,,2688.33003,2227.85203,396.63667,6.3108,65,Down,93.0,228b9f00-64f1-4283-bca8-b4cd5fbd6f28
Base,uniswap-v3,TEDDY-WETH,31700,2687.10646,,2687.10646,,2687.10646,0.0,1,,,eeadd260-8949-4690-bbf3-b9188ef883fd
Solana,orca,SOL-PEPU,55780916,2654.77518,,2654.77518,,433.37634,12.20953,2,,,dfdabe4e-6d9e-422d-9aa3-225169c013a2
Solana,orca,SOL-SOLARIS,11564,2494.97363,,2494.97363,,2557.83965,2.0264,7,Down,100.0,e05c90c6-bd45-4d51-a09b-60de81bc98da
BSC,uniswap-v3,WBNB-THE,36278,2486.95192,,2486.95192,,67.41427,5.35095,11,Down,99.0,8a8777a6-9a33-479c-a573-90237ffe19d9
Base,uniswap-v3,VIRTUAL-WETH,994949,2480.41144,,2480.41144,,529.6511,5.06056,6,,,6725de7e-3f65-481c-b70c-e9d6fffa8c24
Base,uniswap-v3,MAGA-WETH,156509,2463.14723,,2463.14723,,2536.28378,1.82934,4,,,916c91f9-9c67-4c21-bfe5-6d911efe6dd1
Solana,orca,SOL-SENSUS,11442,2434.25648,,2434.25648,,3687.31912,3.39119,4,,,bd119293-87ba-4661-9bf1-2e58bf2c2567
Base,uniswap-v3,$BUG-WETH,385099,2431.79748,,2431.79748,,2431.79748,0.0,1,,,7b2ffa89-f457-47fb-8662-85457cd7f8b9
Solana,orca,ZEREBRO-CHILLGUY,16112,2393.99434,,2393.99434,,2393.99434,0.0,1,,,9b3b3ef3-18c4-44d7-bfb8-bb33a36f3fa3
Solana,orca,SOL-TERRY,26636,2335.35977,,2335.35977,,4478.32251,3.74394,6,,,72dffee4-9335-4773-b1da-2380c6bfceb4
Sui,cetus-amm,CABYBANA-SUI,35959,2303.85063,0.0,2303.85063,,1996.15668,1.02236,2,,,db21d16a-b320-41d1-a5b2-9d063fd40faa
Solana,orca,SOL-TUCKER,11340,2214.02574,,2214.02574,-10800.4359,8450.96238,6.4422,3,,,40d2707d-5cc1-480a-b003-e52a14a67214
Base,uniswap-v3,HENLO-WETH,38510,2161.7141,,2161.7141,,1814.32182,1.24443,2,,,3f4bdb09-9717-4c10-bdaa-0fcb9fc86771
Sui,cetus-amm,BAPEAPE-SUI,42532,2136.78899,0.0,2136.78899,,1027.97247,5.10154,2,,,3e94d115-a013-4683-8cec-8d180fc895f8
Solana,orca,SOL-BULLY,696417,2132.06269,,2132.06269,-1520.34973,3293.7607,2.28879,13,Down,99.0,6c92615a-33e2-4d4f-9a11-e4de5491af8c
Solana,orca,$WIF-🟥🟩,22887,2131.47095,,2131.47095,-251.98734,4913.25316,4.14429,3,,,79dfc5cd-965c-42bf-81ce-02f1b18850e1
Base,uniswap-v3,LORD-WETH,11860,2126.41012,,2126.41012,,2126.41012,0.0,1,,,ebb0a702-1b0e-474e-9cb3-5019bf3658e5
Base,uniswap-v3,MELNC-WETH,145710,2045.42184,,2045.42184,,2045.42184,0.0,1,,,6d30249d-8bf8-4616-96a3-aaf91eb9924e
Solana,orca,SOL-ELIZA,10212,2031.72261,,2031.72261,-14639.17906,7484.64806,5.49345,6,,,e8fa6a10-2e08-4d70-beb3-db46e00c31c0
Aptos,liquidswap,ZUSDC-APT,22915,,,2025.42541,-31.62077,720.79244,5.59469,156,Down,99.0,364793e1-3bf7-4a60-89a5-6661f0340212
Base,uniswap-v3,CHOOSINGRICH-WETH,15390,2012.52044,,2012.52044,,2012.52044,0.0,1,,,37783d6d-de40-4591-bff9-bf566bf60908
Neo,flamingo-finance,FUSDT-FUSD,18267,0.0,2004.11385,2004.11385,1002.84845,62.14686,2.78685,509,Down,100.0,65446288-b952-4947-8228-fdee797c6d09
Sui,cetus-amm,BANAPE-SUI,35435,1997.36761,0.0,1997.36761,,1997.36761,0.0,1,,,42167190-2627-435a-af30-17c3b6f827e6
Base,uniswap-v3,SEKOIA-WETH,189938,1994.73843,,1994.73843,,1347.69287,1.67065,6,,,519567e2-ba52-46f1-b13e-5e0d36c7ddea
Solana,orca,SOL-CHILLGUY,1219927,1990.63478,3.59723,1994.23201,-160439.00817,4667.3015,8.94648,8,Down,100.0,f3c1772e-0b13-4938-9cc0-e02ac59ba2aa
Telos,apeswap-amm,TLOS-STLOS,48183,,1980.92973,1980.92973,-1.23603,563.77151,5.14508,669,Down,100.0,0603f735-e234-4a66-8ce3-d992db68b32e
Base,uniswap-v3,CHAOS-WETH,410076,1965.23605,,1965.23605,,1965.23605,0.0,1,,,b27de4ba-858d-4a56-b368-47945d961a2e
Solana,orca,FARTCOIN-FWOG,38353,1955.66871,,1955.66871,-286.92022,1872.36216,1.41004,6,,,ebe136b1-36fa-4c6a-9967-7529c39e8733
Base,uniswap-v3,WANG-WETH,14042,1939.48078,,1939.48078,,1939.48078,0.0,1,,,e83bc686-c7fa-4a2e-aac4-ba2b75e40305
Solana,orca,SOL-ZEREBRO,25896,1898.53041,,1898.53041,,1970.54701,0.26423,2,,,e0e5891d-dec2-4baa-b275-28c7f5858d7c
Solana,orca,GLP1-SOL,35866,1898.09449,,1898.09449,,838.63438,4.46934,7,Down,99.0,5a7ff9b3-4b41-4809-a04c-86b033a156fe
BSC,babydogeswap,BTCB-WBNB,13225,2.36261,1877.94892,1880.31152,84.18351,266.11377,7.14458,526,Down,99.0,75b22f73-a7f0-4a87-9396-129065279861
Solana,orca,CHILLGUY-AI16Z,11180,1834.96944,,1834.96944,,1807.65617,0.10609,2,,,35e62651-a585-46b0-a518-75be8b9b97d0
Base,uniswap-v3,RUNNER-WETH,134061,1800.84861,,1800.84861,,711.08711,4.40693,5,,,4ed3ee42-53de-45ac-9e5f-0071efb628b5
Solana,orca,SOL-BUCK,20967,1779.05826,,1779.05826,-3068.90455,2810.01091,3.5616,11,Down,100.0,328ccefd-2479-4541-9c54-dd94dfe23182
Ethereum,uniswap-v3,TORN-WETH,542242,1777.36795,,1777.36795,1604.91016,19.48958,1.55895,967,Down,99.0,673878a2-34c7-4a86-bb52-7bce001a1082
Arbitrum,orange-finance,BOOP-WETH,48948,1772.36785,0.0,1772.36785,1582.20956,540.18195,5.58136,121,Down,100.0,77f61c7f-1f63-431f-8519-931b13b89fad
Optimism,velodrome-v2,CHI-DAI,190983,,1761.89806,1761.89806,470.87433,64.06814,2.93447,486,Down,95.0,ce0d8283-c258-42dc-b744-29486ed9441c
Sui,turbos,NS-SUI,243491,511.91303,1219.67751,1731.59054,318.30873,1423.95359,0.90616,14,Down,99.0,46c52398-1ab7-4e4b-be00-f0f6061486e5
Base,uniswap-v3,GIRLTECH-WETH,12209,1721.9153,,1721.9153,,1817.88106,0.38307,2,,,5f4090e0-0109-45c8-a5c5-c733e61d10d3
Sui,cetus-amm,SDOGER-SUI,33993,1720.12108,0.0,1720.12108,,1720.12108,0.0,1,,,a839fad6-68af-4554-8e48-481b666cea29
Solana,kamino-liquidity,SOL-GINNAN,15063,1713.13549,0.0,1713.13549,,623.2522,3.56144,5,,,d50ebd04-1c40-4062-8bf1-630b840c9d02
Arbitrum,steer-protocol,ZRO-WETH,26596,1671.03,,1671.03,879.24,956.99648,2.79694,147,Down,95.0,63796489-f263-4a32-a3bb-4cdef149a80e
Aptos,liquidswap,AMAPT-APT,44514,,,1634.95246,52.14218,525.82186,5.34074,156,Down,100.0,6bd5141c-c70b-4518-bba3-35886f428cc4
Solana,orca,SOL-GGSS,10055,1624.06777,,1624.06777,-1744.17932,5042.87817,6.07843,11,Down,100.0,4475a549-a2bf-4a9c-af98-d641a5aec8a7
Base,uniswap-v3,FCAST-WETH,297544,1617.76742,,1617.76742,,1340.4877,1.16713,6,,,f69980c9-ca0e-401c-abfc-92cf1ca29d99
Solana,orca,FARTCOIN-LUCE,17137,1609.02131,,1609.02131,,1898.88986,0.57097,5,,,1216d61a-01cb-40a3-b6ed-515046a1b15b
Sui,cetus-amm,HIPDOGE-SUI,21853,1597.67779,0.0,1597.67779,719.28805,1597.67779,0.0,1,,,5a88ede6-837d-4484-8933-f6794df5ed60
Solana,orca,CHB-USDC,11379,1590.435,,1590.435,,20.30836,3.58042,39,Down,96.0,2d2d0fcf-c47d-45c3-a626-f6726fc28762
Solana,orca,SOL-VIBE,45096,1542.47418,,1542.47418,-8878.24457,4448.29696,4.5155,11,Down,100.0,803f7e6b-3253-4a49-8690-58731b2d3033
Solana,orca,MOBILE-USDC,107976,1538.99413,,1538.99413,1266.71758,115.89824,3.87357,414,Down,98.0,f6cb6255-bfaa-4762-8bc8-5103b5c5ca20
Sui,turbos,UICIDE-SUI,15603,1537.96839,0.0,1537.96839,,1028.3343,3.67216,4,,,771784bb-9ed3-4a24-b81f-5a705a31b6a8
Base,uniswap-v3,DIRTY-WETH,12261,1513.78517,,1513.78517,,1486.23294,0.12844,2,,,f8e4dd80-0081-4bc2-a234-0f70daf816e4
Base,uniswap-v3,SEXY-WETH,240184,1499.76837,,1499.76837,,1499.76837,0.0,1,,,a905558e-af16-43b7-92ae-2f34d4e726df
Solana,orca,BULLY-USDC,159705,1482.50702,,1482.50702,-1305.77675,2197.54444,2.10622,10,Down,99.0,eb4a71bb-1c76-4927-bfa8-29e4d3b4c36c
Solana,orca,SOL-CHILLGUY,702174,1477.31013,,1477.31013,-35712.50364,4437.65119,6.55732,9,Down,99.0,e5cabc98-e347-4087-9682-a730d6830ae9
Arbitrum,curve-dex,2CRV-WETH-WUNIT0,64974,0.8,1475.82589,1476.62589,,220.67964,9.80121,6,,,48aa453e-63f5-491a-9dec-5a0847129c29
Base,uniswap-v3,CHILLGUY-WETH,98319,1472.73036,,1472.73036,,149.77466,6.772,5,,,2237f8ca-fe18-49e2-917b-ca54e04b2ce9
Solana,orca,SOL-RXS,58999204,1463.3791,,1463.3791,,203.2878,7.61238,3,,,a3bfffda-42db-4b05-952a-091d1312aa3e
Re.al,pearl-v2,MORE-USDC,97802,,1421.92221,1421.92221,1371.12635,89.33262,2.80043,51,Down,100.0,fe9bf01c-dc64-4af0-aeeb-3931bb949fee
Solana,orca,SOL-ZEREBRO,651106,1410.36234,,1410.36234,-1982.02403,2875.00855,2.32372,19,Down,100.0,273b9292-dfd5-4085-b05b-ee450f387fe9
Solana,orca,CHILLGUY-USDC,63558,1399.3394,,1399.3394,,1734.52287,1.37765,6,,,d022b1fe-27b2-48a3-bcf1-6809e57b695b
Solana,orca,SOL-NVIDIA,10199,1381.45638,,1381.45638,-1723.82901,3536.52701,4.006,12,Down,100.0,6f23c07f-8127-44e9-b331-e2ef13e8accc
Arbitrum,camelot-v3,VITAI-WETH,414100,1374.23262,,1374.23262,,1374.23262,0.0,1,,,81968dbd-fdac-484a-ab30-dcc70f446245
Base,uniswap-v3,FREND-WETH,33035,1371.37287,,1371.37287,,1371.37287,0.0,1,,,ceb00b92-52eb-421f-b8ca-fc0c2353d063
Solana,orca,FARTCOIN-MOODENG,34227,1347.56731,,1347.56731,-2177.5029,2160.8658,2.0468,14,Down,100.0,b870f301-e526-484d-87a6-9db92ead653a
Optimism,beefy,OP-USDC,215765,,,1332.80732,1225.86936,131.54563,2.45816,112,Down,94.0,541bbbd5-0ed5-4810-be4b-1b530d044bb2
Solana,orca,SOL-FLOWER,62076,1306.45049,,1306.45049,-11330.81023,3074.68882,4.31558,9,Down,100.0,62446cc3-9c56-4e9d-9a70-95f2f2bc52a8
Solana,orca,SOL-PROJECT89,10612,1300.22735,,1300.22735,,1905.21898,6.88192,7,Down,100.0,026b9f0e-4ffc-44cc-8478-99eb13cafc29
Aptos,liquidswap,APT-STAPT,56089,,,1297.59137,12.24967,595.10586,4.75524,156,Down,100.0,94bc5550-4072-4132-9789-4c5a6d7c6afc
Polygon,steer-protocol,WMATIC-QUICK,12780,1278.04,,1278.04,663.55,895.96605,1.92406,11,Down,100.0,f9a7e9ef-7f20-4a3a-9fe9-39ad700ce378
Solana,orca,USDC-SHOGGOTH,10022,1272.07144,,1272.07144,,1265.76245,0.03436,2,,,e236d7d9-b1ae-469e-b8a3-31537b76fc97
Base,pancakeswap-amm-v3,VIRTUAL-WETH,57651,1262.89293,,1262.89293,19.31587,662.91294,4.43403,12,Down,100.0,37e11c24-f9cf-4613-bd2e-79c8bc18c0bc
Base,uniswap-v3,RKT-WETH,118702,1256.12471,,1256.12471,,1003.83946,1.7954,6,,,c7010492-3ebf-457f-8927-9172fea9ef8e
Avalanche,uniswap-v3,PNIC-WAVAX,20286,1205.24476,,1205.24476,-119.25619,431.45133,3.50109,17,Down,98.0,d098a74d-4120-49ed-baf1-0e3d2f87af6d
Aptos,liquidswap,ZUSDC-ZUSDT,38627,,,1200.17234,-86.68769,399.4317,3.25514,156,Down,98.0,0a330a26-55d6-4c8a-972a-e5736217ba84
Solana,orca,LOCKIN-FARTCOIN,11019,1173.56184,,1173.56184,-962.12131,1371.13276,1.84858,13,Down,100.0,5767a1ce-243c-4e1c-90c4-f56de75aecb7
Sui,cetus-amm,CAPYDOGE-SUI,37307,1166.97248,0.0,1166.97248,,1166.97248,0.0,1,,,346d9493-7314-41e7-88f9-ab656bea134d
Base,gamma,WETH-MORPHO,30175,1164.99973,0.0,1164.99973,,803.77735,2.3208,4,,,8a624e8a-74e3-4964-848e-e926001bfd59
Sui,cetus-amm,PIPPE-SUI,43948,1158.97074,0.0,1158.97074,,997.22833,1.02458,2,,,ac8796eb-6d0e-4a4d-8db4-e6f51d76c803
Base,uniswap-v3,WETH-$RUG,34347,1158.73139,,1158.73139,,545.57166,3.2593,4,,,5775848a-e6a9-4fc6-b9cc-5ca173becc22
Solana,kamino-liquidity,SOL-ZEUS,485758,1156.61609,0.0,1156.61609,429.10835,105.36337,4.49071,186,Down,92.0,3f473e01-6ca1-4169-965e-644c97e600df
Solana,orca,FWOG-LUCE,315932,1147.5856,,1147.5856,-633.56214,1496.59469,3.00381,26,Down,99.0,deba196c-37ed-466e-8192-6c25daefd2f0
Solana,orca,WMM-LUCE,68009,1145.79262,,1145.79262,-1498.64254,2050.92422,2.38318,15,Down,100.0,cf24151b-75ce-489e-b1e3-cbb4e6a62653
Solana,orca,SOL-GAYCOIN,26519,1144.6798,,1144.6798,-1835.20488,1836.85276,2.91367,8,Down,100.0,6d4a751c-125b-42df-a5f0-3727dabd6883
Solana,orca,SOL-WAIT,30622,1144.27624,,1144.27624,-8481.85966,3287.99705,5.74771,8,Down,100.0,3cf2256e-22d1-4792-a524-651d62328e6e
Solana,orca,SOL-FARTCOIN,184669,1141.00762,,1141.00762,245.02955,892.15477,3.44105,19,Down,98.0,1a3d7f4f-f940-4f8e-91fd-9c9ed5ca8cd6
Base,uniswap-v3,WETH-EVERYONE,24567,1139.21935,,1139.21935,,1139.21935,0.0,1,,,61aca329-63ab-4013-8449-58628a57f079
Harmony,acryptos,ONE,13952,,,1129.37,0.0,1129.37,0.0,824,Down,80.0,f534c91a-4497-40e2-8b30-091385c4d0ad
Base,beefy,VIRTUAL-WETH,120669,,,1126.1609,-56.51965,1120.35013,13.19335,34,Down,99.0,d06c372b-cf84-4573-bd45-4bb8b9fdf58c
Solana,orca,CHILLGUY-USDC,37924,1119.83495,,1119.83495,-362846.13794,3818.58445,10.93022,8,Down,100.0,b051b801-cdff-4d86-8b2b-5953661a76c2
Solana,orca,SOL-BARSIK,25102,1116.65146,,1116.65146,-3752.8542,4305.51066,5.19414,12,Down,100.0,aaffb637-168a-47f9-9f73-368f5e20dbc1
